trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20251203,001280.SZ,62.00,80.00,58.88,67.99,17.89,50.1,280.0447,1225986.37,8088569.579
20251204,001280.SZ,68.50,76.89,65.55,69.49,67.99,1.5,2.2062,967101.91,6838922.054
20251205,001280.SZ,68.10,70.16,64.51,65.89,69.49,-3.6,-5.1806,697321.66,4665091.608
20251208,001280.SZ,64.59,69.60,63.00,68.75,65.89,2.86,4.3406,603740.83,4058038.916
20251209,001280.SZ,67.34,69.50,65.75,67.80,68.75,-0.95,-1.3818,502733.11,3390269.095
20251210,001280.SZ,67.00,67.32,62.85,63.88,67.80,-3.92,-5.7817,510961.83,3290644.481
20251211,001280.SZ,63.21,70.27,61.79,67.68,63.88,3.8,5.9487,824676.49,5485531.58
20251212,001280.SZ,67.00,72.69,64.55,69.30,67.68,1.62,2.3936,774481.63,5255713.738
20251215,001280.SZ,68.33,76.23,68.33,74.98,69.30,5.68,8.1962,844302.73,6200898.965
20251216,001280.SZ,72.78,73.55,67.48,67.48,74.98,-7.5,-10.0027,684076.55,4736072.285
20251217,001280.SZ,66.02,66.70,63.99,64.65,67.48,-2.83,-4.1938,420723.12,2741977.528
20251218,001280.SZ,64.00,65.41,63.65,64.00,64.65,-0.65,-1.0054,263785.89,1705741.414
20251219,001280.SZ,65.08,65.50,63.30,64.14,64.00,0.14,0.2188,267452.18,1716959.346
20251222,001280.SZ,63.80,64.64,63.20,64.43,64.14,0.29,0.4521,239052.36,1530691.01
20251223,001280.SZ,64.69,64.69,62.00,62.22,64.43,-2.21,-3.4301,304806.76,1916538.199
20251224,001280.SZ,62.24,63.23,61.28,62.93,62.22,0.71,1.1411,200971.32,1257502.038
20251225,001280.SZ,62.27,63.15,62.02,62.35,62.93,-0.58,-0.9217,176037.73,1101111.503
20251226,001280.SZ,62.47,64.93,61.58,64.43,62.35,2.08,3.336,362040.82,2303703.861
20251229,001280.SZ,64.00,64.28,62.30,62.57,64.43,-1.86,-2.8869,223329.02,1412677.737
20251230,001280.SZ,61.98,61.99,60.71,60.89,62.57,-1.68,-2.685,222285.07,1358548.108
20251231,001280.SZ,60.33,61.65,59.55,60.92,60.89,0.03,0.0493,189410.25,1145195.152
20260105,001280.SZ,61.52,62.62,61.00,61.94,60.92,1.02,1.6743,181441.06,1123800.756
20260106,001280.SZ,62.96,64.66,62.71,63.79,61.94,1.85,2.9868,300152.3,1913241.611
20260107,001280.SZ,63.77,66.18,63.00,64.83,63.79,1.04,1.6303,357906.55,2319815.214
20260108,001280.SZ,64.00,65.27,63.68,63.82,64.83,-1.01,-1.5579,225138.84,1447163.695
20260109,001280.SZ,63.45,70.00,63.18,68.46,63.82,4.64,7.2704,451115.73,3014657.087
20260112,001280.SZ,68.61,69.89,67.40,68.55,68.46,0.09,0.1315,329519.3,2253504.791
20260113,001280.SZ,68.48,71.09,67.24,69.21,68.55,0.66,0.9628,296337.83,2044476.655
20260114,001280.SZ,68.82,70.56,65.88,66.73,69.21,-2.48,-3.5833,311300.0,2116957.367
20260115,001280.SZ,67.57,72.68,67.57,70.10,66.73,3.37,5.0502,391139.47,2753747.193
20260116,001280.SZ,70.03,75.96,70.02,74.40,70.10,4.3,6.1341,421733.82,3124961.441
20260119,001280.SZ,75.02,81.84,75.01,80.28,74.40,5.88,7.9032,457016.02,3631967.169
